Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Correlate
338,3/24/2020,6:00 PM,Uttar Pradesh,32,1,11,0,33,0
339,3/24/2020,6:00 PM,Uttarakhand,3,1,0,0,4,0
340,3/24/2020,6:00 PM,West Bengal,9,0,0,1,9,0
341,3/25/2020,6:00 PM,Andhra Pradesh,9,0,1,0,9,0
342,3/25/2020,6:00 PM,Bihar,4,0,0,1,4,0
343,3/25/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,0
344,3/25/2020,6:00 PM,Delhi,30,1,6,1,31,0
345,3/25/2020,6:00 PM,Gujarat,37,1,0,1,38,0
346,3/25/2020,6:00 PM,Haryana,14,14,11,0,28,0
347,3/25/2020,6:00 PM,Himachal Pradesh,3,0,0,1,3,0
348,3/25/2020,6:00 PM,Karnataka,41,0,3,1,41,0
349,3/25/2020,6:00 PM,Kerala,101,8,4,0,109,1
350,3/25/2020,6:00 PM,Madhya Pradesh,14,0,0,0,14,0
351,3/25/2020,6:00 PM,Maharashtra,125,3,1,3,128,1
352,3/25/2020,6:00 PM,Manipur,1,0,0,0,1,0
353,3/25/2020,6:00 PM,Mizoram,1,0,0,0,1,0
354,3/25/2020,6:00 PM,Odisha,2,0,0,0,2,0
355,3/25/2020,6:00 PM,Puducherry,1,0,0,0,1,0
356,3/25/2020,6:00 PM,Punjab,29,0,0,1,29,0
357,3/25/2020,6:00 PM,Rajasthan,34,2,3,0,36,0
358,3/25/2020,6:00 PM,Tamil Nadu,16,2,1,0,18,0
359,3/25/2020,6:00 PM,Telengana,25,10,1,0,35,0
360,3/25/2020,6:00 PM,Chandigarh,7,0,0,0,7,0
361,3/25/2020,6:00 PM,Jammu and Kashmir,7,0,1,0,7,0
362,3/25/2020,6:00 PM,Ladakh,13,0,0,0,13,0
363,3/25/2020,6:00 PM,Uttar Pradesh,36,1,11,0,37,0
364,3/25/2020,6:00 PM,Uttarakhand,3,1,0,0,4,0
365,3/25/2020,6:00 PM,West Bengal,9,0,0,1,9,0
366,3/26/2020,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1,0
367,3/26/2020,6:00 PM,Andhra Pradesh,11,0,1,0,11,0
368,3/26/2020,6:00 PM,Bihar,6,0,0,1,6,0
369,3/26/2020,6:00 PM,Chandigarh,7,0,0,0,7,0
370,3/26/2020,6:00 PM,Chhattisgarh,6,0,0,0,6,0
371,3/26/2020,6:00 PM,Delhi,35,1,6,1,36,0
372,3/26/2020,6:00 PM,Goa,3,0,0,0,3,0
373,3/26/2020,6:00 PM,Gujarat,42,1,0,3,43,0
374,3/26/2020,6:00 PM,Haryana,16,14,11,0,30,0
375,3/26/2020,6:00 PM,Himachal Pradesh,3,0,0,1,3,0
376,3/26/2020,6:00 PM,Jammu and Kashmir,13,0,1,0,13,0
377,3/26/2020,6:00 PM,Karnataka,55,0,3,2,55,0
378,3/26/2020,6:00 PM,Kerala,110,8,6,0,118,1
379,3/26/2020,6:00 PM,Ladakh,13,0,0,0,13,0
380,3/26/2020,6:00 PM,Madhya Pradesh,20,0,0,1,20,0
381,3/26/2020,6:00 PM,Maharashtra,121,3,1,3,124,1
382,3/26/2020,6:00 PM,Manipur,1,0,0,0,1,0
383,3/26/2020,6:00 PM,Mizoram,1,0,0,0,1,0
384,3/26/2020,6:00 PM,Odisha,2,0,0,0,2,0
385,3/26/2020,6:00 PM,Puducherry,1,0,0,0,1,0
386,3/26/2020,6:00 PM,Punjab,33,0,0,1,33,0
387,3/26/2020,6:00 PM,Rajasthan,39,2,3,0,41,0
388,3/26/2020,6:00 PM,Tamil Nadu,20,6,1,1,26,0
389,3/26/2020,6:00 PM,Telengana,34,10,1,0,44,0
